timestamp,function,pred_prob,threshold,pre_warm_triggered,ground_truth_invoked
0.04188511931810801,AzureFunc_761,0.7099595814624333,0.5,True,True
0.4271216790600274,AzureFunc_21,0.1402881207043796,0.5,False,True
0.866411074448159,AzureFunc_721,0.11216918844880819,0.5,False,True
1.445558491223542,AzureFunc_568,0.8666244020614138,0.5,True,True
1.4770419810295365,AzureFunc_373,0.8041603404848392,0.5,True,True
1.9950645069140904,AzureFunc_483,0.8655835192244777,0.5,True,True
2.1525798052631107,AzureFunc_65,0.07624944490714365,0.5,False,True
2.803557027651582,AzureFunc_277,0.8968824194130223,0.5,True,True
3.34590073185983,AzureFunc_485,0.8234302531014565,0.5,True,True
3.3949530989652033,AzureFunc_732,0.8792121835857192,0.5,True,True
3.396294963471913,AzureFunc_578,0.9858743629072901,0.5,True,True
3.6802785400127824,AzureFunc_524,0.14195115097114464,0.5,False,True
3.913271297757115,AzureFunc_383,0.9026628331803236,0.5,True,True
4.073310435132704,AzureFunc_649,0.9159598162749563,0.5,True,True
4.565076895764886,AzureFunc_674,0.7138667422955749,0.5,True,True
4.732680350255158,AzureFunc_34,0.7295979176899697,0.5,True,True
4.7515283435868305,AzureFunc_528,0.10733371867836218,0.5,False,True
4.801102166851257,AzureFunc_826,0.8140522642979093,0.5,True,True
4.84657544362932,AzureFunc_596,0.79891092627532,0.5,True,True
4.879888192615844,AzureFunc_693,0.7826953237350885,0.5,True,True
5.1055924820956555,AzureFunc_877,0.8782462828319064,0.5,True,True
5.14203508503619,AzureFunc_281,0.8881660153214093,0.5,True,True
5.3057595107210975,AzureFunc_815,0.9028940534303944,0.5,True,True
5.685915880482728,AzureFunc_208,0.04313377058742732,0.5,False,True
6.209359595426545,AzureFunc_230,0.7998677032173149,0.5,True,True
6.76758068967831,AzureFunc_871,0.9061965881046508,0.5,True,True
7.475463360292345,AzureFunc_888,0.7595313034197132,0.5,True,True
7.862740220006037,AzureFunc_611,0.035094968645990245,0.5,False,True
8.836511197839192,AzureFunc_621,0.9205879024776275,0.5,True,True
9.302453441936587,AzureFunc_118,0.10464820307456771,0.5,False,True
9.342087781127617,AzureFunc_804,0.13014130272940747,0.5,False,True
9.386868213481447,AzureFunc_176,0.7195753563729923,0.5,True,True
10.665794017428532,AzureFunc_309,0.7983580214022741,0.5,True,True
11.237944883074658,AzureFunc_767,0.7808215077478193,0.5,True,True
11.307261773239619,AzureFunc_828,0.818865398360822,0.5,True,True
11.585748975403254,AzureFunc_38,0.7334251764175507,0.5,True,True
12.142596781999826,AzureFunc_595,0.9715723532029805,0.5,True,True
12.731845331608582,AzureFunc_194,0.7271551149597624,0.5,True,True
12.983169983261389,AzureFunc_169,0.7128498078405028,0.5,True,True
13.162720840737396,AzureFunc_128,0.09709583031956902,0.5,False,True
13.377960979142367,AzureFunc_782,0.8215269356122976,0.5,True,True
